Andre, Reid
Ann, Bryant
Antonio, Hernandez
Barbara, Kist
Catherine, Frey
Christopher, Knepp
Craig, Hutchison
Craig, Petitt
Danielle, Taylor
Darrel, Dover
Darren, Smith
David, Herrera
Derek, Moody
Doris, Turner
Eric, Greene
Ermelinda, Gingerich
Forrest, Florence
Gary, Mills
Helen, Quarles
James, Barbee
Jeffrey, Adair
Joycelyn, Langley
Juan, Hernandez
Julio, Shepherd
Ladonna, Waters
Lisa, Carter
Margarita, Lippert
Michael, Lambert
Michael, McAbee
Michael, Miser
Michael, Tapp
Mike, Gilham
Patrick, Barnett
Paul, Parry
Peggy, Lewis
Reginald, Canfield
Robert, Lewis
Roberta, Casey
Robin, Davenport
Sandra, Koch
Sandy, Moon
Sharon, Ridge
Sonja, Howell
Sophie, Ortiz
Tammy, Dorsey
Tara, Cracraft
Victoria, Lett
Vincent, Valadez
William, Brice
William, Howard
